gene,log2FC,pvalue
1405_i_at,1.2794042614414902,0.0004996413291619769
1438_at,1.6104744313510544,4.955730016147859e-08
1552256_a_at,1.1781209454645065,1.162568354359499e-09
1552277_a_at,1.260396292134832,8.965202838049051e-14
1552283_s_at,-1.2818188270759103,3.9126358664521465e-07
1552289_a_at,-1.0528176349684846,4.57034783045732e-05
1552301_a_at,-1.1893360701562066,0.0008124655776113445
1552330_at,1.0810486133187167,1.497809596752048e-06
1552344_s_at,1.1445408605097294,4.1153384671539647e-08
1552348_at,1.0290205919429978,3.9359346502143175e-05
1552378_s_at,1.8202580186352426,2.5693229538675557e-08
1552532_a_at,1.1660201013976437,5.203165767534858e-07
1552618_at,1.1136210715264463,2.9207719978194047e-13
1552619_a_at,2.1381111948479044,2.454565598905057e-10
1552632_a_at,-1.924132323924363,3.798090295966063e-11
1552639_at,2.0700331575774187,1.4461794559060953e-10
1552656_s_at,1.0074985886544274,7.09316604727715e-05
1552685_a_at,1.1130673033707872,0.0001858489804502623
1552733_at,-1.4442520553576323,7.317648807033371e-11
1552790_a_at,-1.2932269882159488,1.5200302773847276e-11
1552797_s_at,-1.4010508714716359,5.5929474004267555e-09
1552848_a_at,1.957220731707317,5.6261268759358224e-08
1552921_a_at,1.0885602850095921,9.786547904756315e-08
1553015_a_at,1.1426257796656616,7.557911899816063e-07
1553030_a_at,-1.1101441189366956,3.034968707843324e-12
1553105_s_at,1.0780340915319258,1.3647100195539035e-05
1553227_s_at,-1.2863335653603718,1.65277687911105e-13
1553394_a_at,-3.9178746094820496,8.409237333643454e-10
1553434_at,-3.774440422033433,5.4374721313126145e-14
1553436_at,-1.2119294392984377,0.03638407539343767
1553510_s_at,1.3422791120855013,5.948691359488075e-14
1553528_a_at,1.3567552206083864,1.1398094904276486e-17
1553542_at,-1.596949451904632,3.4270797189844297e-14
1553589_a_at,1.5130276623732541,0.003399332037285262
1553602_at,-4.443985567360921,7.443719321613277e-08
1553603_s_at,2.296833875034256,1.138935101844976e-25
1553613_s_at,5.084758659906824,1.3560553806331902e-27
1553614_a_at,1.1245272567826803,1.6194085576076803e-07
1553622_a_at,-2.843497311592217,6.648591606324285e-09
1553693_s_at,-1.3533177884351852,1.8070516401629456e-18
1553709_a_at,1.03700583173472,2.2648993617038873e-12
1553725_s_at,1.014741764867086,3.6355018245257144e-09
1553798_a_at,1.7720050315154836,1.0730980648685926e-10
1553910_at,-1.075310019183339,0.0017200802877961581
1553962_s_at,-2.037890285009593,4.1754550986321943e-13
1553972_a_at,2.4009217045765965,2.0068905796444384e-10
1553986_at,-2.0324023376267473,2.414802452671239e-10
1553989_a_at,1.9833249684845162,5.562141966385614e-10
1554001_at,-1.0059646259249098,0.00019619977485457667
1554007_at,-1.0379644889010686,0.0010716159008503823
1554020_at,2.035535974239518,1.5565294702618765e-17
1554052_at,1.2456398465332956,1.1233012628691931e-11
1554057_at,1.004925354891749,6.067097679090239e-16
1554063_at,1.2155720882433547,1.8769086706692674e-16
1554067_at,-1.1844927733625648,2.1610690890975223e-10
1554179_s_at,1.1519471170183615,3.768766624006345e-08
1554195_a_at,1.736990315154836,1.3173058156856686e-05
1554242_a_at,2.2570082762400663,2.2972534987027094e-13
1554271_a_at,2.161743727048507,2.580397373022524e-15
1554406_a_at,1.0407294190189091,8.602279947544424e-08
1554408_a_at,1.1380016388051502,8.089864408731523e-05
1554417_s_at,1.14616300356262,6.758875555678927e-07
1554474_a_at,1.5585732228007685,5.954887227552314e-07
1554572_a_at,2.1039022115648134,1.3931496944732544e-17
1554640_at,1.1181493011784034,5.249063182505799e-05
1554679_a_at,1.250033636612768,2.390173723591623e-05
